Titre :;Crédits aux micro-entreprises  - Crédits de trésorerie, encours
Code série :;BSI1.Q.FR.N.R.A20FRTR.A.1.U6.MIC.EUR.E
Unité :;Euro (EUR)
Magnitude :;Millions (6)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
T2 2020;41659,63
T1 2020;20935,15
T4 2019;19722,27
T3 2019;20121,15
T2 2019;19893
T1 2019;19908
T4 2018;19171
T3 2018;19367
T2 2018;18742
T1 2018;17846
T4 2017;17214
T3 2017;17870
T2 2017;18189
T1 2017;18365
T4 2016;17214
T3 2016;18801
T2 2016;18705,74
T1 2016;18447,22
T4 2015;17254,55
T3 2015;18025,7
T2 2015;18477,3
T1 2015;18062,33
T4 2014;17074,29
T3 2014;17704,62
T2 2014;18676,99
T1 2014;17881,38
T4 2013;17205,54
T3 2013;18300,18
T2 2013;17731,06
T1 2013;17297,57
